#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABAT	SOD1	9606.ENSP00000379845	9606.ENSP00000270142	0	0	0	0	0	0.726	0	0.071	0.734
ACE	HMOX1	9606.ENSP00000290866	9606.ENSP00000216117	0	0	0	0	0	0	0	0.457	0.457
ACE	CTSG	9606.ENSP00000290866	9606.ENSP00000216336	0	0	0	0	0	0	0	0.520	0.520
ACE	BDKRB1	9606.ENSP00000290866	9606.ENSP00000216629	0	0	0	0	0	0	0	0.576	0.576
ACE	GNB3	9606.ENSP00000290866	9606.ENSP00000229264	0	0	0	0	0	0	0	0.638	0.638
ACE	CMA1	9606.ENSP00000290866	9606.ENSP00000250378	0	0	0	0	0	0	0	0.823	0.823
ACE	CYBA	9606.ENSP00000290866	9606.ENSP00000261623	0	0	0	0	0	0	0	0.502	0.502
ACE	ENPEP	9606.ENSP00000290866	9606.ENSP00000265162	0	0	0	0	0.082	0	0	0.656	0.671
ACE	REN	9606.ENSP00000290866	9606.ENSP00000272190	0	0	0	0	0	0	0	0.967	0.967
ACE	CRH	9606.ENSP00000290866	9606.ENSP00000276571	0	0	0	0	0	0	0	0.544	0.544
ACE	GJA1	9606.ENSP00000290866	9606.ENSP00000282561	0	0	0	0	0	0	0	0.403	0.403
ACE	DDAH1	9606.ENSP00000290866	9606.ENSP00000284031	0	0	0	0	0	0	0	0.428	0.428
ACE	PPARG	9606.ENSP00000290866	9606.ENSP00000287820	0	0	0	0	0.062	0	0	0.780	0.785
ACE	APLN	9606.ENSP00000290866	9606.ENSP00000391800	0	0	0	0	0	0	0	0.401	0.400
ACE	NPR1	9606.ENSP00000290866	9606.ENSP00000357669	0	0	0	0	0.062	0	0	0.391	0.404
ACE	SMAD3	9606.ENSP00000290866	9606.ENSP00000332973	0	0	0	0	0	0	0	0.408	0.408
ACE	HSD11B2	9606.ENSP00000290866	9606.ENSP00000316786	0	0	0	0	0.062	0	0	0.403	0.416
ACE	PTGS1	9606.ENSP00000290866	9606.ENSP00000354612	0	0	0	0	0.064	0	0	0.407	0.422
ACE	ACTA2	9606.ENSP00000290866	9606.ENSP00000402373	0	0	0	0	0	0	0	0.429	0.429
ACE	NOX1	9606.ENSP00000290866	9606.ENSP00000362057	0	0	0	0	0	0	0	0.439	0.439
ACE	NPY	9606.ENSP00000290866	9606.ENSP00000384364	0	0	0	0	0	0	0	0.439	0.439
ACE	CD34	9606.ENSP00000290866	9606.ENSP00000310036	0	0	0	0	0.096	0	0	0.418	0.451
ACE	MYH6	9606.ENSP00000290866	9606.ENSP00000386041	0	0	0	0	0.062	0.072	0	0.428	0.458
ACE	GLP1R	9606.ENSP00000290866	9606.ENSP00000362353	0	0	0	0	0.063	0	0	0.459	0.471
ACE	CALCA	9606.ENSP00000290866	9606.ENSP00000331746	0	0	0	0	0	0	0	0.475	0.475
ACE	ERAP2	9606.ENSP00000290866	9606.ENSP00000400376	0	0	0	0	0.062	0	0	0.479	0.490
ACE	EDNRB	9606.ENSP00000290866	9606.ENSP00000366416	0	0	0	0	0.062	0	0	0.483	0.494
ACE	NOS1	9606.ENSP00000290866	9606.ENSP00000477999	0	0	0	0	0.062	0	0	0.499	0.510
ACE	PPARA	9606.ENSP00000290866	9606.ENSP00000385523	0	0	0	0	0	0	0	0.517	0.517
ACE	ADM	9606.ENSP00000290866	9606.ENSP00000436607	0	0	0	0	0.063	0	0	0.535	0.545
ACE	ECE1	9606.ENSP00000290866	9606.ENSP00000364028	0	0	0	0	0.063	0	0	0.536	0.547
ACE	POMC	9606.ENSP00000290866	9606.ENSP00000384092	0	0	0	0	0	0	0	0.559	0.559
ACE	KLK1	9606.ENSP00000290866	9606.ENSP00000301420	0	0	0	0	0	0	0	0.565	0.565
ACE	AVP	9606.ENSP00000290866	9606.ENSP00000369647	0	0	0	0	0	0	0	0.565	0.565
ACE	ADRB2	9606.ENSP00000290866	9606.ENSP00000305372	0	0	0	0	0.049	0	0	0.562	0.566
ACE	EDNRA	9606.ENSP00000290866	9606.ENSP00000315011	0	0	0	0	0.062	0	0	0.573	0.583
ACE	PTGS2	9606.ENSP00000290866	9606.ENSP00000356438	0	0	0	0	0.065	0	0	0.572	0.583
ACE	PRCP	9606.ENSP00000290866	9606.ENSP00000377055	0	0	0	0	0.062	0	0	0.588	0.597
ACE	ERAP1	9606.ENSP00000290866	9606.ENSP00000296754	0	0	0	0	0.062	0	0	0.589	0.598
ACE	TNNI3	9606.ENSP00000290866	9606.ENSP00000341838	0	0	0	0	0.062	0	0	0.601	0.609
ACE	ADRB1	9606.ENSP00000290866	9606.ENSP00000358301	0	0	0	0	0.062	0	0	0.610	0.618
ACE	ADIPOQ	9606.ENSP00000290866	9606.ENSP00000389814	0	0	0	0	0.066	0	0	0.621	0.631
ACE	LEP	9606.ENSP00000290866	9606.ENSP00000312652	0	0	0	0	0.062	0	0	0.625	0.634
ACE	NPPA	9606.ENSP00000290866	9606.ENSP00000365663	0	0	0	0	0.062	0	0	0.628	0.636
ACE	AGTRAP	9606.ENSP00000290866	9606.ENSP00000319713	0	0	0	0	0	0	0	0.662	0.662
ACE	ATP6AP2	9606.ENSP00000290866	9606.ENSP00000367697	0	0	0	0	0	0	0	0.745	0.745
ACE	CYP11B2	9606.ENSP00000290866	9606.ENSP00000325822	0	0	0	0	0	0.056	0	0.744	0.748
ACE	NPPB	9606.ENSP00000290866	9606.ENSP00000365651	0	0	0	0	0	0	0	0.760	0.760
ACE	TAC1	9606.ENSP00000290866	9606.ENSP00000321106	0	0	0	0	0	0	0	0.785	0.785
ACE	NOS3	9606.ENSP00000290866	9606.ENSP00000297494	0	0	0	0	0.063	0	0	0.800	0.804
ACE	EDN1	9606.ENSP00000290866	9606.ENSP00000368683	0	0	0	0	0	0	0	0.804	0.804
ACE	MME	9606.ENSP00000290866	9606.ENSP00000418525	0	0	0	0	0.062	0	0	0.862	0.865
ACE	AGTR2	9606.ENSP00000290866	9606.ENSP00000360973	0	0	0	0	0.062	0.213	0	0.895	0.916
ACE	AGTR1	9606.ENSP00000290866	9606.ENSP00000419422	0	0	0	0	0.062	0	0	0.922	0.924
ACE	RHOA	9606.ENSP00000290866	9606.ENSP00000400175	0	0	0	0	0	0.941	0	0.399	0.963
ACE	AGT	9606.ENSP00000290866	9606.ENSP00000355627	0	0	0	0	0.062	0.822	0.900	0.940	0.998
ACE2	CMA1	9606.ENSP00000389326	9606.ENSP00000250378	0	0	0	0	0.062	0	0	0.780	0.784
ACE2	ENPEP	9606.ENSP00000389326	9606.ENSP00000265162	0	0	0	0	0.173	0	0	0.648	0.696
ACE2	REN	9606.ENSP00000389326	9606.ENSP00000272190	0	0	0	0	0.062	0	0	0.965	0.966
ACE2	RNPEP	9606.ENSP00000389326	9606.ENSP00000295640	0	0	0.294	0	0.062	0	0	0.309	0.503
ACE2	ERAP1	9606.ENSP00000389326	9606.ENSP00000296754	0	0	0	0	0.065	0	0	0.571	0.581
ACE2	NOS3	9606.ENSP00000389326	9606.ENSP00000297494	0	0	0	0	0.062	0	0	0.581	0.590
ACE2	AGTRAP	9606.ENSP00000389326	9606.ENSP00000319713	0	0	0	0	0	0	0	0.659	0.659
ACE2	CYP11B2	9606.ENSP00000389326	9606.ENSP00000325822	0	0	0	0	0	0.056	0	0.391	0.400
ACE2	AGT	9606.ENSP00000389326	9606.ENSP00000355627	0	0	0	0	0.063	0.845	0.900	0.878	0.998
ACE2	AGTR2	9606.ENSP00000389326	9606.ENSP00000360973	0	0	0	0	0	0	0	0.879	0.879
ACE2	ECE1	9606.ENSP00000389326	9606.ENSP00000364028	0	0	0.264	0	0.054	0	0	0.267	0.445
ACE2	NPPB	9606.ENSP00000389326	9606.ENSP00000365651	0	0	0	0	0	0	0	0.589	0.589
ACE2	ATP6AP2	9606.ENSP00000389326	9606.ENSP00000367697	0	0	0	0	0	0	0	0.700	0.700
ACE2	EDN1	9606.ENSP00000389326	9606.ENSP00000368683	0	0	0	0	0	0	0	0.671	0.671
ACE2	PRCP	9606.ENSP00000389326	9606.ENSP00000377055	0	0	0	0	0.051	0	0.800	0.659	0.929
ACE2	NOS1	9606.ENSP00000389326	9606.ENSP00000477999	0	0	0	0	0	0	0	0.427	0.427
ACE2	RHOA	9606.ENSP00000389326	9606.ENSP00000400175	0	0	0	0	0	0.256	0	0.270	0.433
ACE2	ERAP2	9606.ENSP00000389326	9606.ENSP00000400376	0	0	0	0	0.065	0	0	0.477	0.491
ACE2	APLN	9606.ENSP00000389326	9606.ENSP00000391800	0	0	0	0	0	0.270	0	0.562	0.666
ACE2	AGTR1	9606.ENSP00000389326	9606.ENSP00000419422	0	0	0	0	0.062	0	0	0.865	0.868
ACE2	MME	9606.ENSP00000389326	9606.ENSP00000418525	0	0	0.242	0	0.062	0	0.800	0.754	0.960
ACSM3	ATP1A1	9606.ENSP00000289416	9606.ENSP00000445306	0	0	0	0	0.053	0.057	0	0.548	0.561
ACTA2	PPARG	9606.ENSP00000402373	9606.ENSP00000287820	0	0	0	0	0	0.056	0	0.436	0.445
ACTA2	ACE	9606.ENSP00000402373	9606.ENSP00000290866	0	0	0	0	0	0	0	0.429	0.429
ACTA2	COL1A2	9606.ENSP00000402373	9606.ENSP00000297268	0	0	0	0	0.183	0	0	0.604	0.662
ACTA2	CD34	9606.ENSP00000402373	9606.ENSP00000310036	0	0	0	0	0.133	0	0	0.556	0.599
ACTA2	PDGFB	9606.ENSP00000402373	9606.ENSP00000330382	0	0	0	0	0	0	0	0.451	0.451
ACTA2	SMAD3	9606.ENSP00000402373	9606.ENSP00000332973	0	0	0	0	0	0.182	0	0.712	0.754
ACTA2	TNNI3	9606.ENSP00000402373	9606.ENSP00000341838	0	0	0	0	0.122	0.078	0	0.350	0.428
ACTA2	TPM1	9606.ENSP00000402373	9606.ENSP00000351022	0	0	0	0	0.141	0.436	0.600	0.593	0.910
ACTA2	AGT	9606.ENSP00000402373	9606.ENSP00000355627	0	0	0	0	0	0	0	0.534	0.534
ACTA2	ENG	9606.ENSP00000402373	9606.ENSP00000362299	0	0	0	0	0.065	0	0	0.517	0.530
ACTA2	EDN1	9606.ENSP00000402373	9606.ENSP00000368683	0	0	0	0	0.060	0	0	0.482	0.492
ACTA2	POSTN	9606.ENSP00000402373	9606.ENSP00000369071	0	0	0	0	0.191	0	0	0.573	0.640
ACTA2	MYH6	9606.ENSP00000402373	9606.ENSP00000386041	0	0	0	0	0.089	0.394	0	0.560	0.736
ACTA2	RHOA	9606.ENSP00000402373	9606.ENSP00000400175	0	0	0	0	0.053	0.142	0	0.471	0.533
ACVRL1	SMAD3	9606.ENSP00000373574	9606.ENSP00000332973	0	0	0	0	0.060	0.107	0	0.501	0.545
ACVRL1	ENG	9606.ENSP00000373574	9606.ENSP00000362299	0	0	0	0	0.133	0.839	0.900	0.927	0.998
ACVRL1	BMPR2	9606.ENSP00000373574	9606.ENSP00000363708	0	0	0	0.723	0.062	0	0.900	0.939	0.927
ADH5	CES1	9606.ENSP00000296412	9606.ENSP00000353720	0	0	0	0	0	0	0	0.461	0.461
ADH5	NOS3	9606.ENSP00000296412	9606.ENSP00000297494	0	0	0	0	0.049	0	0	0.500	0.504
ADH5	ADRB2	9606.ENSP00000296412	9606.ENSP00000305372	0	0	0	0	0	0	0	0.520	0.520
ADH5	NOS1	9606.ENSP00000296412	9606.ENSP00000477999	0	0	0	0	0.049	0	0	0.607	0.611
ADH5	AVP	9606.ENSP00000296412	9606.ENSP00000369647	0	0	0	0	0	0	0	0.852	0.853
ADIPOQ	HMOX1	9606.ENSP00000389814	9606.ENSP00000216117	0	0	0	0	0	0	0	0.550	0.550
ADIPOQ	NAMPT	9606.ENSP00000389814	9606.ENSP00000222553	0	0	0	0	0	0	0	0.860	0.860
