#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABI1	MAPK1	9606.ENSP00000365312	9606.ENSP00000215832	0	0	0	0	0.062	0	0.900	0.043	0.902
ABI1	WASL	9606.ENSP00000365312	9606.ENSP00000223023	0	0	0	0	0.063	0.844	0.900	0.894	0.998
ABI1	NCK2	9606.ENSP00000365312	9606.ENSP00000233154	0	0	0	0	0.062	0.645	0	0.514	0.824
ABI1	VASP	9606.ENSP00000365312	9606.ENSP00000245932	0	0	0	0	0.065	0.533	0	0.745	0.879
ABI1	RAC2	9606.ENSP00000365312	9606.ENSP00000249071	0	0	0	0	0.068	0.175	0	0.518	0.597
ABI1	MAPK3	9606.ENSP00000365312	9606.ENSP00000263025	0	0	0	0	0.062	0	0.900	0.174	0.915
ABI1	PIK3CA	9606.ENSP00000365312	9606.ENSP00000263967	0	0	0	0	0.062	0	0.900	0	0.902
ABI1	EGFR	9606.ENSP00000365312	9606.ENSP00000275493	0	0	0	0	0	0.155	0.900	0.530	0.956
ABI1	PIK3CB	9606.ENSP00000365312	9606.ENSP00000289153	0	0	0	0	0.062	0	0.900	0.048	0.902
ABI1	NCKAP1L	9606.ENSP00000365312	9606.ENSP00000293373	0	0	0	0	0.117	0.825	0.900	0.725	0.995
ABI1	SHANK1	9606.ENSP00000365312	9606.ENSP00000293441	0	0	0	0	0	0.170	0	0.422	0.500
ABI1	CRK	9606.ENSP00000365312	9606.ENSP00000300574	0	0	0	0	0.065	0.128	0	0.551	0.601
ABI1	RAC3	9606.ENSP00000365312	9606.ENSP00000304283	0	0	0	0	0.064	0.175	0	0.465	0.550
ABI1	BAIAP2	9606.ENSP00000365312	9606.ENSP00000316338	0	0	0	0	0	0.814	0.900	0.799	0.995
ABI1	RAPH1	9606.ENSP00000365312	9606.ENSP00000316543	0	0	0	0	0	0.586	0	0.756	0.895
ABI1	RHOG	9606.ENSP00000365312	9606.ENSP00000339467	0	0	0	0	0.062	0.099	0	0.401	0.449
ABI1	NEO1	9606.ENSP00000365312	9606.ENSP00000341198	0	0	0	0	0.062	0	0	0.415	0.429
ABI1	DTNBP1	9606.ENSP00000365312	9606.ENSP00000341680	0	0	0	0	0	0.247	0	0.741	0.796
ABI1	NFASC	9606.ENSP00000365312	9606.ENSP00000344786	0	0	0	0	0	0.422	0	0	0.422
ABI1	CRKL	9606.ENSP00000365312	9606.ENSP00000346300	0	0	0	0	0.089	0.128	0	0.528	0.593
ABI1	FYN	9606.ENSP00000365312	9606.ENSP00000346671	0	0	0	0	0.064	0.220	0	0.465	0.576
ABI1	MINK1	9606.ENSP00000365312	9606.ENSP00000347427	0	0	0	0	0	0.464	0	0.058	0.474
ABI1	RAC1	9606.ENSP00000365312	9606.ENSP00000348461	0	0	0	0	0.062	0.154	0.900	0.440	0.949
ABI1	ACTB	9606.ENSP00000365312	9606.ENSP00000349960	0	0	0	0	0	0.077	0.600	0.222	0.687
ABI1	NCKAP1	9606.ENSP00000365312	9606.ENSP00000354251	0	0	0	0	0.064	0.956	0.900	0.988	0.999
ABI1	ENAH	9606.ENSP00000365312	9606.ENSP00000355809	0	0	0	0	0.065	0.728	0	0.723	0.923
ABI1	ABL1	9606.ENSP00000365312	9606.ENSP00000361423	0	0	0	0	0.062	0.947	0.900	0.989	0.999
ABI1	SPTAN1	9606.ENSP00000365312	9606.ENSP00000361824	0	0	0	0	0.069	0.213	0	0.484	0.589
ABI1	SRC	9606.ENSP00000365312	9606.ENSP00000362680	0	0	0	0	0.064	0.220	0	0.471	0.580
ABI1	SRGAP2	9606.ENSP00000365312	9606.ENSP00000459615	0	0	0	0	0.064	0.142	0	0.314	0.401
ABI1	RHOA	9606.ENSP00000365312	9606.ENSP00000400175	0	0	0	0	0.062	0.099	0	0.370	0.421
ABI1	ROCK1	9606.ENSP00000365312	9606.ENSP00000382697	0	0	0	0	0.086	0.143	0	0.409	0.497
ABI1	EVL	9606.ENSP00000365312	9606.ENSP00000376652	0	0	0	0	0.065	0.429	0	0.189	0.529
ABI1	CTTN	9606.ENSP00000365312	9606.ENSP00000365745	0	0	0	0	0.062	0.271	0	0.489	0.620
ABI1	GRB2	9606.ENSP00000365312	9606.ENSP00000376345	0	0	0	0.621	0.062	0.128	0.600	0.429	0.698
ABI1	CDC42	9606.ENSP00000365312	9606.ENSP00000383118	0	0	0	0	0.067	0.177	0.600	0.667	0.884
ABI1	ITGB1	9606.ENSP00000365312	9606.ENSP00000379350	0	0	0	0	0	0	0.900	0.158	0.912
ABI1	PIK3R1	9606.ENSP00000365312	9606.ENSP00000428056	0	0	0	0	0	0.239	0.900	0.123	0.927
ABI1	ITGA4	9606.ENSP00000365312	9606.ENSP00000380227	0	0	0	0	0	0.334	0.900	0.090	0.934
ABI1	CYFIP1	9606.ENSP00000365312	9606.ENSP00000481038	0	0	0	0	0.238	0.912	0.800	0.845	0.997
ABI1	WASF1	9606.ENSP00000365312	9606.ENSP00000376368	0	0	0	0	0.112	0.940	0.800	0.972	0.999
ABI1	SOS1	9606.ENSP00000365312	9606.ENSP00000387784	0	0	0	0	0.062	0.497	0.900	0.992	0.999
ABI1	CYFIP2	9606.ENSP00000365312	9606.ENSP00000444645	0	0	0	0	0.082	0.859	0.900	0.944	0.999
ABL1	EPHA8	9606.ENSP00000361423	9606.ENSP00000166244	0	0	0	0.605	0	0	0.800	0.202	0.813
ABL1	MAPK1	9606.ENSP00000361423	9606.ENSP00000215832	0	0	0	0.587	0.062	0.148	0	0.857	0.459
ABL1	WASL	9606.ENSP00000361423	9606.ENSP00000223023	0	0	0	0	0	0.274	0	0.396	0.543
ABL1	DOK1	9606.ENSP00000361423	9606.ENSP00000233668	0	0	0	0	0	0.883	0	0.704	0.964
ABL1	PLCG1	9606.ENSP00000361423	9606.ENSP00000244007	0	0	0	0.540	0.097	0.517	0.900	0.467	0.962
ABL1	VASP	9606.ENSP00000361423	9606.ENSP00000245932	0	0	0	0	0.054	0.369	0	0.609	0.746
ABL1	RAC2	9606.ENSP00000361423	9606.ENSP00000249071	0	0	0	0	0.049	0.140	0.800	0.445	0.897
ABL1	SEMA6A	9606.ENSP00000361423	9606.ENSP00000257414	0	0	0	0	0	0.061	0	0.486	0.496
ABL1	NOTCH3	9606.ENSP00000361423	9606.ENSP00000263388	0	0	0	0	0.062	0.314	0	0.165	0.415
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.062	0.104	0	0.520	0.561
ABL1	NRP1	9606.ENSP00000361423	9606.ENSP00000265371	0	0	0	0	0.062	0	0	0.904	0.906
ABL1	SLIT1	9606.ENSP00000361423	9606.ENSP00000266058	0	0	0	0	0	0.342	0.900	0.140	0.938
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0.062	0.837	0.900	0.224	0.986
ABL1	ERBB2	9606.ENSP00000361423	9606.ENSP00000269571	0	0	0	0.590	0	0.667	0	0.704	0.762
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.069	0.838	0	0.752	0.890
ABL1	EPHA1	9606.ENSP00000361423	9606.ENSP00000275815	0	0	0	0.616	0	0	0.800	0.397	0.828
ABL1	DOK2	9606.ENSP00000361423	9606.ENSP00000276420	0	0	0	0	0	0.687	0	0.357	0.790
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.638	0	0	0.800	0.671	0.847
ABL1	NOTCH1	9606.ENSP00000361423	9606.ENSP00000277541	0	0	0	0	0.077	0.243	0	0.653	0.737
ABL1	EPHA4	9606.ENSP00000361423	9606.ENSP00000281821	0	0	0	0.616	0.062	0.113	0.800	0.258	0.834
ABL1	APP	9606.ENSP00000361423	9606.ENSP00000284981	0	0	0	0	0.065	0.282	0	0.392	0.556
ABL1	NCKAP1L	9606.ENSP00000361423	9606.ENSP00000293373	0	0	0	0	0	0.299	0.900	0.338	0.949
ABL1	RUNX1	9606.ENSP00000361423	9606.ENSP00000300305	0	0	0	0	0	0	0.900	0.386	0.936
ABL1	CRK	9606.ENSP00000361423	9606.ENSP00000300574	0	0	0	0.582	0.062	0.978	0.800	0.981	0.997
ABL1	RAC3	9606.ENSP00000361423	9606.ENSP00000304283	0	0	0	0	0.083	0.140	0.800	0.296	0.874
ABL1	CTNNA1	9606.ENSP00000361423	9606.ENSP00000304669	0	0	0	0	0	0	0.900	0.178	0.914
ABL1	CASP3	9606.ENSP00000361423	9606.ENSP00000311032	0	0	0	0	0	0.063	0	0.507	0.518
ABL1	PAK2	9606.ENSP00000361423	9606.ENSP00000314067	0	0	0	0.585	0.064	0.296	0	0.368	0.410
ABL1	BAIAP2	9606.ENSP00000361423	9606.ENSP00000316338	0	0	0	0	0.063	0	0.900	0.142	0.912
ABL1	SEMA6D	9606.ENSP00000361423	9606.ENSP00000324857	0	0	0	0	0	0.061	0	0.473	0.484
ABL1	EPHB3	9606.ENSP00000361423	9606.ENSP00000332118	0	0	0	0.617	0.062	0.057	0.800	0.232	0.822
ABL1	SLIT3	9606.ENSP00000361423	9606.ENSP00000332164	0	0	0	0	0	0.342	0	0.179	0.437
ABL1	HSP90AA1	9606.ENSP00000361423	9606.ENSP00000335153	0	0	0	0	0	0.829	0	0.856	0.974
ABL1	EPHA3	9606.ENSP00000361423	9606.ENSP00000337451	0	0	0	0.618	0	0.282	0.800	0.288	0.865
ABL1	TRIO	9606.ENSP00000361423	9606.ENSP00000339299	0	0	0	0.543	0.142	0.330	0	0.214	0.450
