#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC9	PKP2	9606.ENSP00000261200	9606.ENSP00000070846	0	0	0	0	0	0	0	0.506	0.506
ABCC9	KCNQ1	9606.ENSP00000261200	9606.ENSP00000155840	0	0	0	0	0.062	0.057	0	0.400	0.422
ABCC9	RANGRF	9606.ENSP00000261200	9606.ENSP00000226105	0	0	0	0	0.063	0.062	0	0.561	0.580
ABCC9	TNNT2	9606.ENSP00000261200	9606.ENSP00000236918	0	0	0	0	0.079	0	0	0.419	0.442
ABCC9	KCNJ2	9606.ENSP00000261200	9606.ENSP00000243457	0	0	0	0	0.083	0.148	0	0.475	0.555
ABCC9	ATP1B2	9606.ENSP00000261200	9606.ENSP00000250111	0	0	0	0	0	0	0.540	0.053	0.545
ABCC9	KCNA5	9606.ENSP00000261200	9606.ENSP00000252321	0	0	0	0	0.062	0.057	0	0.418	0.440
ABCC9	TRPM4	9606.ENSP00000261200	9606.ENSP00000252826	0	0	0	0	0	0	0	0.464	0.463
ABCC9	SPX	9606.ENSP00000261200	9606.ENSP00000256969	0	0	0	0	0	0	0	0.468	0.468
ABCC9	KCNE1	9606.ENSP00000261200	9606.ENSP00000337255	0	0	0	0	0	0	0	0.432	0.432
ABCC9	TNNI3	9606.ENSP00000261200	9606.ENSP00000341838	0	0	0	0	0	0	0	0.435	0.435
ABCC9	JUP	9606.ENSP00000261200	9606.ENSP00000377508	0	0	0	0	0	0.056	0	0.430	0.439
ABCC9	KCNJ3	9606.ENSP00000261200	9606.ENSP00000295101	0	0	0	0	0.049	0.148	0	0.364	0.439
ABCC9	TPM1	9606.ENSP00000261200	9606.ENSP00000351022	0	0	0	0	0.062	0	0	0.442	0.454
ABCC9	KCNJ12	9606.ENSP00000261200	9606.ENSP00000463778	0	0	0	0	0	0.148	0	0.397	0.464
ABCC9	KCNE2	9606.ENSP00000261200	9606.ENSP00000290310	0	0	0	0	0	0	0	0.467	0.467
ABCC9	DSG2	9606.ENSP00000261200	9606.ENSP00000261590	0	0	0	0	0	0	0	0.482	0.482
ABCC9	SCN10A	9606.ENSP00000261200	9606.ENSP00000390600	0	0	0	0	0.062	0.057	0	0.465	0.485
ABCC9	CSRP3	9606.ENSP00000261200	9606.ENSP00000431813	0	0	0	0	0.062	0	0	0.486	0.497
ABCC9	KCNH2	9606.ENSP00000261200	9606.ENSP00000262186	0	0	0	0	0	0	0	0.508	0.508
ABCC9	CASQ2	9606.ENSP00000261200	9606.ENSP00000261448	0	0	0	0	0.086	0	0	0.491	0.515
ABCC9	SCN2B	9606.ENSP00000261200	9606.ENSP00000278947	0	0	0	0	0	0	0	0.518	0.518
ABCC9	KCNJ5	9606.ENSP00000261200	9606.ENSP00000433295	0	0	0	0	0.069	0.148	0	0.448	0.524
ABCC9	HCN4	9606.ENSP00000261200	9606.ENSP00000261917	0	0	0	0	0	0	0	0.528	0.528
ABCC9	SCN3B	9606.ENSP00000261200	9606.ENSP00000376523	0	0	0	0	0.065	0	0	0.520	0.532
ABCC9	GPD1L	9606.ENSP00000261200	9606.ENSP00000282541	0	0	0	0	0.064	0	0	0.521	0.532
ABCC9	KCND3	9606.ENSP00000261200	9606.ENSP00000319591	0	0	0	0	0	0.057	0	0.528	0.536
ABCC9	RYR2	9606.ENSP00000261200	9606.ENSP00000355533	0	0	0	0	0.062	0.144	0	0.470	0.538
